Cluster,Feature,Log_Odds_Ratio
3,lnu(B),-1.61
4,lnu(B),-1.34
5,lnu(B),0.2
6,lnu(B),-2.27
7,lnu(B),-1.42
8,lnu(B),-2.2
9,lnu(B),-1.1
1,lnu(C),-2.83
2,lnu(C),-3.5
3,lnu(C),-1.61
4,lnu(C),-3.14
5,lnu(C),-1.73
6,lnu(C),-3.43
7,lnu(C),-3.56
8,lnu(C),-2.2
9,lnu(C),-2.94
1,lsa(E),-2.83
2,lsa(E),-2.34
3,lsa(E),-1.61
4,lsa(E),-1.34
5,lsa(E),0.2
6,lsa(E),-2.27
7,lsa(E),-1.42
8,lsa(E),-2.2
9,lsa(E),-1.1
1,optrA,-1.61
2,optrA,-3.5
3,optrA,-1.61
4,optrA,-3.14
5,optrA,-2.94
6,optrA,-3.43
7,optrA,-3.56
8,optrA,-2.2
9,optrA,-2.94
1,spw,-1.61
2,spw,-3.5
3,spw,-1.61
4,spw,-1.34
5,spw,-1.1
6,spw,-1.69
7,spw,-1.82
8,spw,-2.2
9,spw,-1.1
1,tet(40),-1.61
2,tet(40),-3.5
3,tet(40),-1.61
4,tet(40),-3.14
5,tet(40),-2.94
6,tet(40),-3.43
7,tet(40),-3.56
8,tet(40),-2.2
9,tet(40),-2.94
1,tet(44),-1.61
2,tet(44),-3.5
3,tet(44),-1.61
4,tet(44),-3.14
5,tet(44),-2.94
6,tet(44),-3.43
7,tet(44),-3.56
8,tet(44),-2.2
9,tet(44),-2.94
1,tet(L),-1.61
2,tet(L),-3.5
3,tet(L),-1.61
4,tet(L),-3.14
5,tet(L),-2.94
6,tet(L),-3.43
7,tet(L),-3.56
8,tet(L),-2.2
9,tet(L),-2.94
1,tet(M),-0.96
2,tet(M),-3.5
3,tet(M),-1.61
4,tet(M),-0.17
5,tet(M),-0.62
6,tet(M),-2.27
7,tet(M),0.34
8,tet(M),-2.2
9,tet(M),-2.94
1,tet(O),0.96
2,tet(O),-3.5
3,tet(O),1.61
4,tet(O),-0.89
5,tet(O),-0.62
6,tet(O),-0.38
7,tet(O),-0.34
8,tet(O),2.2
9,tet(O),2.94
1,tet(O/W/32/O),-1.61
2,tet(O/W/32/O),-3.5
3,tet(O/W/32/O),-1.61
4,tet(O/W/32/O),-3.14
5,tet(O/W/32/O),-2.94
6,tet(O/W/32/O),-3.43
7,tet(O/W/32/O),-2.4
8,tet(O/W/32/O),-2.2
9,tet(O/W/32/O),-2.94
1,tet(T),-2.83
2,tet(T),-3.5
3,tet(T),-1.61
4,tet(T),-3.14
5,tet(T),-1.1
6,tet(T),-3.43
7,tet(T),-2.4
8,tet(T),-2.2
9,tet(T),-2.94
1,tet(W),-2.83
2,tet(W),1.02
3,tet(W),-1.61
4,tet(W),-3.14
5,tet(W),-2.94
6,tet(W),-1.69
7,tet(W),-2.4
8,tet(W),-2.2
9,tet(W),-2.94
1,vga(F),-0.96
2,vga(F),-3.5
3,vga(F),-1.61
4,vga(F),-3.14
5,vga(F),-2.94
6,vga(F),-3.43
7,vga(F),-2.4
8,vga(F),-2.2
9,vga(F),-2.94
1, LDH,2.83
2, LDH,3.5
3, LDH,1.61
4, LDH,3.14
5, LDH,2.94
6, LDH,3.43
7, LDH,3.56
8, LDH,2.2
9, LDH,2.94
1, Cps2E,-2.83
2, Cps2E,-2.34
3, Cps2E,1.61
4, Cps2E,-3.14
5, Cps2E,-0.62
6, Cps2E,-3.43
7, Cps2E,-3.56
8, Cps2E,2.2
9, Cps2E,2.94
1, Cps2F,-2.83
2, Cps2F,-3.5
3, Cps2F,1.61
4, Cps2F,-3.14
5, Cps2F,-1.73
6, Cps2F,-3.43
7, Cps2F,-3.56
8, Cps2F,0.85
9, Cps2F,2.94
1, Cps9E,1.61
2, Cps9E,2.34
3, Cps9E,-1.61
4, Cps9E,3.14
5, Cps9E,1.1
6, Cps9E,2.27
7, Cps9E,-0.82
8, Cps9E,-2.2
9, Cps9E,-2.94
1, manN,2.83
2, manN,3.5
3, manN,1.61
4, manN,3.14
5, manN,2.94
6, manN,3.43
7, manN,3.56
8, manN,2.2
9, manN,2.94
1, ArcD,2.83
2, ArcD,3.5
3, ArcD,1.61
4, ArcD,3.14
5, ArcD,2.94
6, ArcD,3.43
7, ArcD,3.56
8, ArcD,2.2
9, ArcD,2.94
1, SsPep,-0.96
2, SsPep,2.34
3, SsPep,1.61
4, SsPep,3.14
5, SsPep,2.94
6, SsPep,3.43
7, SsPep,2.4
8, SsPep,2.2
9, SsPep,2.94
1, Fhb_1,-2.83
2, Fhb_1,-3.5
3, Fhb_1,-1.61
4, Fhb_1,-3.14
5, Fhb_1,-2.94
6, Fhb_1,0.65
7, Fhb_1,-0.82
8, Fhb_1,-2.2
9, Fhb_1,-2.94
1, agaR2,2.83
2, agaR2,3.5
3, agaR2,1.61
4, agaR2,3.14
5, agaR2,2.94
6, agaR2,3.43
7, agaR2,3.56
8, agaR2,2.2
9, agaR2,2.94
1, Cps2B,2.83
2, Cps2B,3.5
3, Cps2B,1.61
4, Cps2B,3.14
5, Cps2B,2.94
6, Cps2B,3.43
7, Cps2B,3.56
8, Cps2B,2.2
9, Cps2B,2.94
1, cps2G,-2.83
2, cps2G,-3.5
3, cps2G,1.61
4, cps2G,-3.14
5, cps2G,-1.73
6, cps2G,-3.43
7, cps2G,-3.56
8, cps2G,0.85
9, cps2G,2.94
1, Cps2J,-2.83
2, Cps2J,-3.5
3, Cps2J,1.61
4, Cps2J,-3.14
5, Cps2J,-1.73
6, Cps2J,-3.43
7, Cps2J,-3.56
8, Cps2J,0.85
9, Cps2J,2.94
1, cps2L,-2.83
2, cps2L,-2.34
3, cps2L,1.61
4, cps2L,-3.14
5, cps2L,-0.62
6, cps2L,-3.43
7, cps2L,-3.56
8, cps2L,2.2
9, cps2L,2.94
1, NeuB,-1.61
2, NeuB,-2.34
3, NeuB,1.61
4, NeuB,-3.14
5, NeuB,-0.2
6, NeuB,-3.43
7, NeuB,-2.4
8, NeuB,2.2
9, NeuB,2.94
1, MRP,-2.83
2, MRP,3.5
3, MRP,1.61
4, MRP,3.14
5, MRP,2.94
6, MRP,1.69
7, MRP,2.4
8, MRP,2.2
9, MRP,2.94
1, SP1,0.0
2, SP1,-3.5
3, SP1,0.0
4, SP1,0.89
5, SP1,2.94
6, SP1,3.43
7, SP1,3.56
8, SP1,-0.85
9, SP1,-0.62
1, ciaH,2.83
2, ciaH,3.5
3, ciaH,1.61
4, ciaH,3.14
5, ciaH,2.94
6, ciaH,3.43
7, ciaH,3.56
8, ciaH,2.2
9, ciaH,2.94
1, prsA,2.83
2, prsA,3.5
3, prsA,1.61
4, prsA,3.14
5, prsA,2.94
6, prsA,3.43
7, prsA,3.56
8, prsA,2.2
9, prsA,2.94
1, Ssa,1.61
2, Ssa,2.34
3, Ssa,1.61
4, Ssa,3.14
5, Ssa,2.94
6, Ssa,3.43
7, Ssa,2.4
8, Ssa,2.2
9, Ssa,2.94
1, abpb,-0.96
2, abpb,2.34
3, abpb,1.61
4, abpb,3.14
5, abpb,1.73
6, abpb,3.43
7, abpb,2.4
8, abpb,2.2
9, abpb,2.94
1, sly,-2.83
2, sly,3.5
3, sly,-1.61
4, sly,-3.14
5, sly,2.94
6, sly,3.43
7, sly,2.4
8, sly,-0.85
9, sly,-2.94
1, HtpsC,-1.61
2, HtpsC,3.5
3, HtpsC,1.61
4, HtpsC,3.14
5, HtpsC,2.94
6, HtpsC,3.43
7, HtpsC,2.4
8, HtpsC,2.2
9, HtpsC,2.94
1, lhk,2.83
2, lhk,3.5
3, lhk,1.61
4, lhk,3.14
5, lhk,2.94
6, lhk,3.43
7, lhk,2.4
8, lhk,2.2
9, lhk,2.94
1, lhr,2.83
2, lhr,3.5
3, lhr,1.61
4, lhr,3.14
5, lhr,2.94
6, lhr,3.43
7, lhr,2.4
8, lhr,2.2
9, lhr,2.94
1, 1910HR,-0.96
2, 1910HR,3.5
3, 1910HR,-1.61
4, 1910HR,-3.14
5, 1910HR,2.94
6, 1910HR,3.43
7, 1910HR,1.82
8, 1910HR,-0.85
9, 1910HR,-2.94
1, 1910HK,-0.96
2, 1910HK,3.5
3, 1910HK,-1.61
4, 1910HK,-3.14
5, 1910HK,2.94
6, 1910HK,3.43
7, 1910HK,1.82
8, 1910HK,-0.85
9, 1910HK,-2.94
1, ssnA,1.61
2, ssnA,3.5
3, ssnA,1.61
4, ssnA,3.14
5, ssnA,2.94
6, ssnA,3.43
7, ssnA,2.4
8, ssnA,2.2
9, ssnA,2.94
1, RggTR,0.96
2, RggTR,-3.5
3, RggTR,-1.61
4, RggTR,3.14
5, RggTR,-2.94
6, RggTR,0.65
7, RggTR,-3.56
8, RggTR,-0.85
9, RggTR,-2.94
1, SntA,0.96
2, SntA,3.5
3, SntA,1.61
4, SntA,3.14
5, SntA,2.94
6, SntA,3.43
7, SntA,3.56
8, SntA,2.2
9, SntA,2.94
1, Sbp2,-2.83
2, Sbp2,1.02
3, Sbp2,-1.61
4, Sbp2,-3.14
5, Sbp2,2.94
6, Sbp2,-1.69
7, Sbp2,-3.56
8, Sbp2,-0.85
9, Sbp2,-2.94
1, TraG,1.61
2, TraG,-3.5
3, TraG,1.61
4, TraG,1.34
5, TraG,2.94
6, TraG,3.43
7, TraG,3.56
8, TraG,2.2
9, TraG,2.94
1, hylA,-2.83
2, hylA,-3.5
3, hylA,-1.61
4, hylA,-3.14
5, hylA,-2.94
6, hylA,-3.43
7, hylA,-3.56
8, hylA,-0.85
9, hylA,-2.94
1, rfeA,-1.61
2, rfeA,-3.5
3, rfeA,-1.61
4, rfeA,-3.14
5, rfeA,-2.94
6, rfeA,-3.43
7, rfeA,-3.56
8, rfeA,-0.85
9, rfeA,-2.94
1, Tran,-2.83
2, Tran,-3.5
3, Tran,-1.61
4, Tran,-3.14
5, Tran,1.73
6, Tran,1.69
7, Tran,-1.1
8, Tran,-0.85
9, Tran,-2.94
1, Hhly3,-0.96
2, Hhly3,-3.5
3, Hhly3,-1.61
4, Hhly3,-0.17
5, Hhly3,-0.62
6, Hhly3,-1.69
7, Hhly3,0.34
8, Hhly3,-2.2
9, Hhly3,-2.94
1, yzpA,-1.61
2, yzpA,3.5
3, yzpA,1.61
4, yzpA,3.14
5, yzpA,2.94
6, yzpA,2.27
7, yzpA,2.4
8, yzpA,2.2
9, yzpA,2.94
1, gh92,-0.96
2, gh92,3.5
3, gh92,-1.61
4, gh92,-3.14
5, gh92,2.94
6, gh92,3.43
7, gh92,1.82
8, gh92,-0.85
9, gh92,-2.94
1, PnuC,-2.83
2, PnuC,-3.5
3, PnuC,-1.61
4, PnuC,-3.14
5, PnuC,-2.94
6, PnuC,-3.43
7, PnuC,-3.56
8, PnuC,-0.85
9, PnuC,-2.94
1, cbp40omp40,-2.83
2, cbp40omp40,-3.5
3, cbp40omp40,-1.61
4, cbp40omp40,-3.14
5, cbp40omp40,-2.94
6, cbp40omp40,-2.27
7, cbp40omp40,-3.56
8, cbp40omp40,-0.85
9, cbp40omp40,-2.94
1, HP1717,2.83
2, HP1717,3.5
3, HP1717,1.61
4, HP1717,3.14
5, HP1717,2.94
6, HP1717,3.43
7, HP1717,3.56
8, HP1717,2.2
9, HP1717,2.94
1, AtlAss,-2.83
2, AtlAss,-3.5
3, AtlAss,-1.61
4, AtlAss,-3.14
5, AtlAss,-2.94
6, AtlAss,-3.43
7, AtlAss,-3.56
8, AtlAss,-2.2
9, AtlAss,-2.94
1, Fhbp,-2.83
2, Fhbp,-3.5
3, Fhbp,-1.61
4, Fhbp,-3.14
5, Fhbp,-2.94
6, Fhbp,-3.43
7, Fhbp,-3.56
8, Fhbp,-0.85
9, Fhbp,-2.94
1, Fhb_2,-2.83
2, Fhb_2,-3.5
3, Fhb_2,-1.61
4, Fhb_2,-3.14
5, Fhb_2,-2.94
6, Fhb_2,-1.69
7, Fhb_2,-3.56
8, Fhb_2,-0.85
9, Fhb_2,-2.94
1, ldeS,-1.61
2, ldeS,3.5
3, ldeS,1.61
4, ldeS,3.14
5, ldeS,2.94
6, ldeS,1.27
7, ldeS,2.4
8, ldeS,2.2
9, ldeS,2.94
1, dltA,-0.45
2, dltA,3.5
3, dltA,1.61
4, dltA,3.14
5, dltA,2.94
6, dltA,3.43
7, dltA,2.4
8, dltA,2.2
9, dltA,2.94
1, SspA,2.83
2, SspA,3.5
3, SspA,1.61
4, SspA,3.14
5, SspA,2.94
6, SspA,3.43
7, SspA,3.56
8, SspA,2.2
9, SspA,2.94
1, Zmp,1.61
2, Zmp,3.5
3, Zmp,1.61
4, Zmp,3.14
5, Zmp,2.94
6, Zmp,3.43
7, Zmp,3.56
8, Zmp,0.85
9, Zmp,2.94
1, atl_2,-0.45
2, atl_2,1.35
3, atl_2,1.61
4, atl_2,-1.95
5, atl_2,2.94
6, atl_2,0.13
7, atl_2,1.1
8, atl_2,-2.2
9, atl_2,2.94
1, NisK,-2.83
2, NisK,-3.5
3, NisK,-1.61
4, NisK,-3.14
5, NisK,-2.94
6, NisK,-3.43
7, NisK,-3.56
8, NisK,-2.2
9, NisK,-2.94
1, NisR,-2.83
2, NisR,-3.5
3, NisR,-1.61
4, NisR,-3.14
5, NisR,-2.94
6, NisR,-3.43
7, NisR,-3.56
8, NisR,-2.2
9, NisR,-2.94
1, ABC_2,-0.96
2, ABC_2,3.5
3, ABC_2,1.61
4, ABC_2,3.14
5, ABC_2,2.94
6, ABC_2,3.43
7, ABC_2,3.56
8, ABC_2,2.2
9, ABC_2,2.94
1, Sbp1,-0.96
2, Sbp1,2.34
3, Sbp1,-1.61
4, Sbp1,-3.14
5, Sbp1,2.94
6, Sbp1,3.43
7, Sbp1,-3.56
8, Sbp1,-0.85
9, Sbp1,-2.94
1, OppA,2.83
2, OppA,3.5
3, OppA,1.61
4, OppA,3.14
5, OppA,2.94
6, OppA,3.43
7, OppA,3.56
8, OppA,2.2
9, OppA,2.94
1, endoSS,-0.96
2, endoSS,3.5
3, endoSS,-1.61
4, endoSS,-3.14
5, endoSS,2.94
6, endoSS,3.43
7, endoSS,1.82
8, endoSS,-0.85
