Feature,ClusterA,ClusterB,Chi2,P_Value,Adjusted_P,FDR_Rejected
 manN,4,5,,1.0,1.0,False
 manN,4,6,,1.0,1.0,False
 manN,4,7,,1.0,1.0,False
 manN,4,8,,1.0,1.0,False
 manN,5,6,,1.0,1.0,False
 manN,5,7,,1.0,1.0,False
 manN,5,8,,1.0,1.0,False
 manN,6,7,,1.0,1.0,False
 manN,6,8,,1.0,1.0,False
 manN,7,8,,1.0,1.0,False
 ArcD,1,2,,1.0,1.0,False
 ArcD,1,3,,1.0,1.0,False
 ArcD,1,4,,1.0,1.0,False
 ArcD,1,5,,1.0,1.0,False
 ArcD,1,6,,1.0,1.0,False
 ArcD,1,7,,1.0,1.0,False
 ArcD,1,8,,1.0,1.0,False
 ArcD,2,3,,1.0,1.0,False
 ArcD,2,4,,1.0,1.0,False
 ArcD,2,5,,1.0,1.0,False
 ArcD,2,6,,1.0,1.0,False
 ArcD,2,7,,1.0,1.0,False
 ArcD,2,8,,1.0,1.0,False
 ArcD,3,4,,1.0,1.0,False
 ArcD,3,5,,1.0,1.0,False
 ArcD,3,6,,1.0,1.0,False
 ArcD,3,7,,1.0,1.0,False
 ArcD,3,8,,1.0,1.0,False
 ArcD,4,5,,1.0,1.0,False
 ArcD,4,6,,1.0,1.0,False
 ArcD,4,7,,1.0,1.0,False
 ArcD,4,8,,1.0,1.0,False
 ArcD,5,6,,1.0,1.0,False
 ArcD,5,7,,1.0,1.0,False
 ArcD,5,8,,1.0,1.0,False
 ArcD,6,7,,1.0,1.0,False
 ArcD,6,8,,1.0,1.0,False
 ArcD,7,8,,1.0,1.0,False
 SsPep,1,2,,1.0,1.0,False
 SsPep,1,3,,1.0,1.0,False
 SsPep,1,4,,1.0,1.0,False
 SsPep,1,5,,1.0,1.0,False
 SsPep,1,6,,1.0,1.0,False
 SsPep,1,7,,0.0,0.0,True
 SsPep,1,8,,1.0,1.0,False
 SsPep,2,3,,1.0,1.0,False
 SsPep,2,4,,1.0,1.0,False
 SsPep,2,5,,1.0,1.0,False
 SsPep,2,6,,1.0,1.0,False
 SsPep,2,7,,0.0,0.0,True
 SsPep,2,8,,1.0,1.0,False
 SsPep,3,4,,1.0,1.0,False
 SsPep,3,5,,1.0,1.0,False
 SsPep,3,6,,1.0,1.0,False
 SsPep,3,7,,0.0,0.0,True
 SsPep,3,8,,1.0,1.0,False
 SsPep,4,5,,1.0,1.0,False
 SsPep,4,6,,1.0,1.0,False
 SsPep,4,7,,0.0,0.0,True
 SsPep,4,8,,0.48,1.0,False
 SsPep,5,6,,1.0,1.0,False
 SsPep,5,7,,0.0,0.0,True
 SsPep,5,8,,1.0,1.0,False
 SsPep,6,7,,0.0,0.0,True
 SsPep,6,8,,1.0,1.0,False
 SsPep,7,8,,0.0,0.0,True
 Fhb_1,1,2,,0.0,0.0,True
 Fhb_1,1,3,,0.04,0.4024406779661017,False
 Fhb_1,1,4,,0.51,1.0,False
 Fhb_1,1,5,,1.0,1.0,False
 Fhb_1,1,6,,1.0,1.0,False
 Fhb_1,1,7,,1.0,1.0,False
 Fhb_1,1,8,,1.0,1.0,False
 Fhb_1,2,3,,0.1,0.8966767371601209,False
 Fhb_1,2,4,,0.0,0.0,True
 Fhb_1,2,5,,0.01,0.10714801444043322,False
 Fhb_1,2,6,,0.0,0.0,True
 Fhb_1,2,7,,0.0,0.0,True
 Fhb_1,2,8,,0.0,0.0,True
 Fhb_1,3,4,,0.09,0.8269969040247678,False
 Fhb_1,3,5,,0.24,1.0,False
 Fhb_1,3,6,,0.01,0.10714801444043322,False
 Fhb_1,3,7,,0.11,0.9774850299401198,False
 Fhb_1,3,8,,0.01,0.10714801444043322,False
 Fhb_1,4,5,,1.0,1.0,False
 Fhb_1,4,6,,0.49,1.0,False
 Fhb_1,4,7,,1.0,1.0,False
 Fhb_1,4,8,,0.48,1.0,False
 Fhb_1,5,6,,1.0,1.0,False
 Fhb_1,5,7,,1.0,1.0,False
 Fhb_1,5,8,,1.0,1.0,False
 Fhb_1,6,7,,1.0,1.0,False
 Fhb_1,6,8,,1.0,1.0,False
 Fhb_1,7,8,,1.0,1.0,False
 agaR2,1,2,,1.0,1.0,False
 agaR2,1,3,,1.0,1.0,False
 agaR2,1,4,,1.0,1.0,False
 agaR2,1,5,,1.0,1.0,False
 agaR2,1,6,,1.0,1.0,False
 agaR2,1,7,,1.0,1.0,False
 agaR2,1,8,,1.0,1.0,False
 agaR2,2,3,,1.0,1.0,False
 agaR2,2,4,,1.0,1.0,False
 agaR2,2,5,,1.0,1.0,False
 agaR2,2,6,,1.0,1.0,False
 agaR2,2,7,,1.0,1.0,False
 agaR2,2,8,,1.0,1.0,False
 agaR2,3,4,,1.0,1.0,False
 agaR2,3,5,,1.0,1.0,False
 agaR2,3,6,,1.0,1.0,False
 agaR2,3,7,,1.0,1.0,False
 agaR2,3,8,,1.0,1.0,False
 agaR2,4,5,,1.0,1.0,False
 agaR2,4,6,,1.0,1.0,False
 agaR2,4,7,,1.0,1.0,False
 agaR2,4,8,,1.0,1.0,False
 agaR2,5,6,,1.0,1.0,False
 agaR2,5,7,,1.0,1.0,False
 agaR2,5,8,,1.0,1.0,False
 agaR2,6,7,,1.0,1.0,False
 agaR2,6,8,,1.0,1.0,False
 agaR2,7,8,,1.0,1.0,False
 Cps2B,1,2,,1.0,1.0,False
 Cps2B,1,3,,1.0,1.0,False
 Cps2B,1,4,,1.0,1.0,False
 Cps2B,1,5,,1.0,1.0,False
 Cps2B,1,6,,1.0,1.0,False
 Cps2B,1,7,,1.0,1.0,False
 Cps2B,1,8,,1.0,1.0,False
 Cps2B,2,3,,1.0,1.0,False
 Cps2B,2,4,,1.0,1.0,False
 Cps2B,2,5,,1.0,1.0,False
 Cps2B,2,6,,1.0,1.0,False
 Cps2B,2,7,,1.0,1.0,False
 Cps2B,2,8,,1.0,1.0,False
 Cps2B,3,4,,1.0,1.0,False
 Cps2B,3,5,,1.0,1.0,False
 Cps2B,3,6,,1.0,1.0,False
 Cps2B,3,7,,1.0,1.0,False
 Cps2B,3,8,,1.0,1.0,False
 Cps2B,4,5,,1.0,1.0,False
 Cps2B,4,6,,1.0,1.0,False
 Cps2B,4,7,,1.0,1.0,False
 Cps2B,4,8,,1.0,1.0,False
 Cps2B,5,6,,1.0,1.0,False
 Cps2B,5,7,,1.0,1.0,False
 Cps2B,5,8,,1.0,1.0,False
 Cps2B,6,7,,1.0,1.0,False
 Cps2B,6,8,,1.0,1.0,False
 Cps2B,7,8,,1.0,1.0,False
 cps2G,1,2,,1.0,1.0,False
 cps2G,1,3,,1.0,1.0,False
 cps2G,1,4,,1.0,1.0,False
 cps2G,1,5,,1.0,1.0,False
 cps2G,1,6,,0.0,0.0,True
 cps2G,1,7,,1.0,1.0,False
 cps2G,1,8,,1.0,1.0,False
 cps2G,2,3,,1.0,1.0,False
 cps2G,2,4,,1.0,1.0,False
 cps2G,2,5,,1.0,1.0,False
 cps2G,2,6,,0.0,0.0,True
 cps2G,2,7,,1.0,1.0,False
 cps2G,2,8,,1.0,1.0,False
 cps2G,3,4,,1.0,1.0,False
 cps2G,3,5,,1.0,1.0,False
 cps2G,3,6,,0.0,0.0,True
 cps2G,3,7,,1.0,1.0,False
 cps2G,3,8,,1.0,1.0,False
 cps2G,4,5,,1.0,1.0,False
 cps2G,4,6,,0.0,0.0,True
 cps2G,4,7,,1.0,1.0,False
 cps2G,4,8,,1.0,1.0,False
 cps2G,5,6,,0.0,0.0,True
 cps2G,5,7,,1.0,1.0,False
 cps2G,5,8,,1.0,1.0,False
 cps2G,6,7,,0.0,0.0,True
 cps2G,6,8,,0.0,0.0,True
 cps2G,7,8,,1.0,1.0,False
 Cps2J,1,2,,1.0,1.0,False
 Cps2J,1,3,,1.0,1.0,False
 Cps2J,1,4,,1.0,1.0,False
 Cps2J,1,5,,1.0,1.0,False
 Cps2J,1,6,,0.0,0.0,True
 Cps2J,1,7,,1.0,1.0,False
 Cps2J,1,8,,1.0,1.0,False
 Cps2J,2,3,,1.0,1.0,False
 Cps2J,2,4,,1.0,1.0,False
 Cps2J,2,5,,1.0,1.0,False
 Cps2J,2,6,,0.0,0.0,True
 Cps2J,2,7,,1.0,1.0,False
 Cps2J,2,8,,1.0,1.0,False
 Cps2J,3,4,,1.0,1.0,False
 Cps2J,3,5,,1.0,1.0,False
 Cps2J,3,6,,0.0,0.0,True
 Cps2J,3,7,,1.0,1.0,False
 Cps2J,3,8,,1.0,1.0,False
 Cps2J,4,5,,1.0,1.0,False
 Cps2J,4,6,,0.0,0.0,True
 Cps2J,4,7,,1.0,1.0,False
 Cps2J,4,8,,1.0,1.0,False
 Cps2J,5,6,,0.0,0.0,True
 Cps2J,5,7,,1.0,1.0,False
 Cps2J,5,8,,1.0,1.0,False
 Cps2J,6,7,,0.0,0.0,True
 Cps2J,6,8,,0.0,0.0,True
 Cps2J,7,8,,1.0,1.0,False
 cps2L,1,2,,1.0,1.0,False
 cps2L,1,3,,1.0,1.0,False
 cps2L,1,4,,0.13,1.0,False
 cps2L,1,5,,1.0,1.0,False
 cps2L,1,6,,0.0,0.0,True
 cps2L,1,7,,1.0,1.0,False
 cps2L,1,8,,1.0,1.0,False
 cps2L,2,3,,1.0,1.0,False
 cps2L,2,4,,0.26,1.0,False
 cps2L,2,5,,1.0,1.0,False
 cps2L,2,6,,0.0,0.0,True
 cps2L,2,7,,1.0,1.0,False
 cps2L,2,8,,1.0,1.0,False
 cps2L,3,4,,0.12,1.0,False
 cps2L,3,5,,1.0,1.0,False
 cps2L,3,6,,0.0,0.0,True
 cps2L,3,7,,1.0,1.0,False
 cps2L,3,8,,1.0,1.0,False
 cps2L,4,5,,0.55,1.0,False
 cps2L,4,6,,0.0,0.0,True
 cps2L,4,7,,0.28,1.0,False
 cps2L,4,8,,0.34,1.0,False
 cps2L,5,6,,0.0,0.0,True
 cps2L,5,7,,1.0,1.0,False
 cps2L,5,8,,1.0,1.0,False
 cps2L,6,7,,0.0,0.0,True
 cps2L,6,8,,0.0,0.0,True
 cps2L,7,8,,1.0,1.0,False
 NeuB,1,2,,1.0,1.0,False
 NeuB,1,3,,1.0,1.0,False
 NeuB,1,4,,0.12,1.0,False
 NeuB,1,5,,0.27,1.0,False
 NeuB,1,6,,0.0,0.0,True
 NeuB,1,7,,0.39,1.0,False
 NeuB,1,8,,1.0,1.0,False
 NeuB,2,3,,1.0,1.0,False
 NeuB,2,4,,0.12,1.0,False
 NeuB,2,5,,0.29,1.0,False
 NeuB,2,6,,0.0,0.0,True
 NeuB,2,7,,0.41,1.0,False
 NeuB,2,8,,1.0,1.0,False
 NeuB,3,4,,0.06,0.5800651465798046,False
 NeuB,3,5,,0.25,1.0,False
 NeuB,3,6,,0.0,0.0,True
 NeuB,3,7,,0.37,1.0,False
 NeuB,3,8,,1.0,1.0,False
 NeuB,4,5,,1.0,1.0,False
 NeuB,4,6,,0.0,0.0,True
 NeuB,4,7,,0.63,1.0,False
 NeuB,4,8,,0.17,1.0,False
 NeuB,5,6,,0.0,0.0,True
 NeuB,5,7,,1.0,1.0,False
 NeuB,5,8,,0.37,1.0,False
 NeuB,6,7,,0.0,0.0,True
 NeuB,6,8,,0.0,0.0,True
 NeuB,7,8,,0.53,1.0,False
 MRP,1,2,,1.0,1.0,False
 MRP,1,3,,1.0,1.0,False
 MRP,1,4,,1.0,1.0,False
 MRP,1,5,,0.0,0.0,True
 MRP,1,6,,1.0,1.0,False
 MRP,1,7,,0.0,0.0,True
 MRP,1,8,,1.0,1.0,False
 MRP,2,3,,1.0,1.0,False
 MRP,2,4,,1.0,1.0,False
 MRP,2,5,,0.0,0.0,True
 MRP,2,6,,1.0,1.0,False
 MRP,2,7,,0.0,0.0,True
 MRP,2,8,,1.0,1.0,False
 MRP,3,4,,1.0,1.0,False
 MRP,3,5,,0.0,0.0,True
 MRP,3,6,,1.0,1.0,False
 MRP,3,7,,0.0,0.0,True
 MRP,3,8,,1.0,1.0,False
 MRP,4,5,,0.0,0.0,True
 MRP,4,6,,1.0,1.0,False
 MRP,4,7,,0.0,0.0,True
 MRP,4,8,,1.0,1.0,False
 MRP,5,6,,0.0,0.0,True
 MRP,5,7,,1.0,1.0,False
 MRP,5,8,,0.0,0.0,True
 MRP,6,7,,0.0,0.0,True
 MRP,6,8,,1.0,1.0,False
 MRP,7,8,,0.0,0.0,True
 SP1,1,2,,0.21,1.0,False
 SP1,1,3,,0.09,0.8269969040247678,False
 SP1,1,4,,0.05,0.4930232558139535,False
 SP1,1,5,,1.0,1.0,False
 SP1,1,6,,0.05,0.4930232558139535,False
 SP1,1,7,,0.63,1.0,False
 SP1,1,8,,0.0,0.0,True
 SP1,2,3,,1.0,1.0,False
 SP1,2,4,,1.0,1.0,False
 SP1,2,5,,0.29,1.0,False
 SP1,2,6,,0.0,0.0,True
 SP1,2,7,,0.05,0.4930232558139535,False
 SP1,2,8,,0.0,0.0,True
 SP1,3,4,,1.0,1.0,False
 SP1,3,5,,0.25,1.0,False
 SP1,3,6,,0.0,0.0,True
 SP1,3,7,,0.04,0.4024406779661017,False
 SP1,3,8,,0.0,0.0,True
 SP1,4,5,,0.19,1.0,False
 SP1,4,6,,0.0,0.0,True
 SP1,4,7,,0.02,0.20901408450704226,False
 SP1,4,8,,0.0,0.0,True
 SP1,5,6,,0.25,1.0,False
 SP1,5,7,,1.0,1.0,False
 SP1,5,8,,0.0,0.0,True
 SP1,6,7,,0.35,1.0,False
 SP1,6,8,,0.04,0.4024406779661017,False
 SP1,7,8,,0.0,0.0,True
 ciaH,1,2,,1.0,1.0,False
 ciaH,1,3,,1.0,1.0,False
 ciaH,1,4,,1.0,1.0,False
 ciaH,1,5,,1.0,1.0,False
 ciaH,1,6,,1.0,1.0,False
 ciaH,1,7,,1.0,1.0,False
 ciaH,1,8,,1.0,1.0,False
 ciaH,2,3,,1.0,1.0,False
 ciaH,2,4,,1.0,1.0,False
 ciaH,2,5,,1.0,1.0,False
 ciaH,2,6,,1.0,1.0,False
 ciaH,2,7,,1.0,1.0,False
 ciaH,2,8,,1.0,1.0,False
 ciaH,3,4,,1.0,1.0,False
 ciaH,3,5,,1.0,1.0,False
 ciaH,3,6,,1.0,1.0,False
 ciaH,3,7,,1.0,1.0,False
 ciaH,3,8,,1.0,1.0,False
 ciaH,4,5,,1.0,1.0,False
 ciaH,4,6,,1.0,1.0,False
 ciaH,4,7,,1.0,1.0,False
 ciaH,4,8,,1.0,1.0,False
 ciaH,5,6,,1.0,1.0,False
 ciaH,5,7,,1.0,1.0,False
 ciaH,5,8,,1.0,1.0,False
 ciaH,6,7,,1.0,1.0,False
 ciaH,6,8,,1.0,1.0,False
 ciaH,7,8,,1.0,1.0,False
 prsA,1,2,,1.0,1.0,False
 prsA,1,3,,1.0,1.0,False
 prsA,1,4,,1.0,1.0,False
 prsA,1,5,,1.0,1.0,False
 prsA,1,6,,1.0,1.0,False
 prsA,1,7,,1.0,1.0,False
 prsA,1,8,,1.0,1.0,False
 prsA,2,3,,1.0,1.0,False
 prsA,2,4,,1.0,1.0,False
 prsA,2,5,,1.0,1.0,False
 prsA,2,6,,1.0,1.0,False
 prsA,2,7,,1.0,1.0,False
 prsA,2,8,,1.0,1.0,False
 prsA,3,4,,1.0,1.0,False
 prsA,3,5,,1.0,1.0,False
 prsA,3,6,,1.0,1.0,False
 prsA,3,7,,1.0,1.0,False
 prsA,3,8,,1.0,1.0,False
 prsA,4,5,,1.0,1.0,False
 prsA,4,6,,1.0,1.0,False
 prsA,4,7,,1.0,1.0,False
 prsA,4,8,,1.0,1.0,False
 prsA,5,6,,1.0,1.0,False
 prsA,5,7,,1.0,1.0,False
 prsA,5,8,,1.0,1.0,False
 prsA,6,7,,1.0,1.0,False
 prsA,6,8,,1.0,1.0,False
 prsA,7,8,,1.0,1.0,False
 Ssa,1,2,,1.0,1.0,False
 Ssa,1,3,,1.0,1.0,False
 Ssa,1,4,,1.0,1.0,False
 Ssa,1,5,,1.0,1.0,False
 Ssa,1,6,,1.0,1.0,False
 Ssa,1,7,,0.14,1.0,False
 Ssa,1,8,,1.0,1.0,False
 Ssa,2,3,,1.0,1.0,False
 Ssa,2,4,,1.0,1.0,False
 Ssa,2,5,,1.0,1.0,False
 Ssa,2,6,,1.0,1.0,False
 Ssa,2,7,,0.15,1.0,False
 Ssa,2,8,,1.0,1.0,False
 Ssa,3,4,,1.0,1.0,False
 Ssa,3,5,,1.0,1.0,False
 Ssa,3,6,,1.0,1.0,False
 Ssa,3,7,,0.12,1.0,False
 Ssa,3,8,,1.0,1.0,False
 Ssa,4,5,,1.0,1.0,False
 Ssa,4,6,,1.0,1.0,False
 Ssa,4,7,,0.08,0.7490220820189274,False
 Ssa,4,8,,0.48,1.0,False
 Ssa,5,6,,1.0,1.0,False
 Ssa,5,7,,0.49,1.0,False
 Ssa,5,8,,1.0,1.0,False
 Ssa,6,7,,0.1,0.8966767371601209,False
 Ssa,6,8,,1.0,1.0,False
 Ssa,7,8,,0.21,1.0,False
 abpb,1,2,,1.0,1.0,False
 abpb,1,3,,1.0,1.0,False
 abpb,1,4,,1.0,1.0,False
 abpb,1,5,,0.27,1.0,False
 abpb,1,6,,1.0,1.0,False
 abpb,1,7,,0.0,0.0,True
 abpb,1,8,,1.0,1.0,False
 abpb,2,3,,1.0,1.0,False
 abpb,2,4,,1.0,1.0,False
 abpb,2,5,,0.29,1.0,False
 abpb,2,6,,1.0,1.0,False
 abpb,2,7,,0.0,0.0,True
 abpb,2,8,,1.0,1.0,False
 abpb,3,4,,1.0,1.0,False
 abpb,3,5,,0.25,1.0,False
 abpb,3,6,,1.0,1.0,False
 abpb,3,7,,0.0,0.0,True
 abpb,3,8,,1.0,1.0,False
 abpb,4,5,,0.35,1.0,False
 abpb,4,6,,1.0,1.0,False
 abpb,4,7,,0.0,0.0,True
 abpb,4,8,,1.0,1.0,False
 abpb,5,6,,0.22,1.0,False
 abpb,5,7,,0.09,0.8269969040247678,False
 abpb,5,8,,0.37,1.0,False
 abpb,6,7,,0.0,0.0,True
 abpb,6,8,,1.0,1.0,False
 abpb,7,8,,0.0,0.0,True
 sly,1,2,,0.0,0.0,True
 sly,1,3,,0.0,0.0,True
 sly,1,4,,0.0,0.0,True
 sly,1,5,,0.06,0.5800651465798046,False
 sly,1,6,,1.0,1.0,False
 sly,1,7,,1.0,1.0,False
 sly,1,8,,0.0,0.0,True
 sly,2,3,,1.0,1.0,False
 sly,2,4,,1.0,1.0,False
 sly,2,5,,0.07,0.6723624595469256,False
 sly,2,6,,0.0,0.0,True
 sly,2,7,,0.0,0.0,True
 sly,2,8,,1.0,1.0,False
 sly,3,4,,1.0,1.0,False
 sly,3,5,,0.05,0.4930232558139535,False
 sly,3,6,,0.0,0.0,True
 sly,3,7,,0.0,0.0,True
 sly,3,8,,1.0,1.0,False
 sly,4,5,,0.03,0.3113286713286713,False
 sly,4,6,,0.0,0.0,True
 sly,4,7,,0.0,0.0,True
 sly,4,8,,1.0,1.0,False
 sly,5,6,,0.04,0.4024406779661017,False
 sly,5,7,,0.11,0.9774850299401198,False
 sly,5,8,,0.03,0.3113286713286713,False
 sly,6,7,,1.0,1.0,False
 sly,6,8,,0.0,0.0,True
 sly,7,8,,0.0,0.0,True
 HtpsC,1,2,,1.0,1.0,False
 HtpsC,1,3,,1.0,1.0,False
 HtpsC,1,4,,1.0,1.0,False
 HtpsC,1,5,,0.27,1.0,False
 HtpsC,1,6,,1.0,1.0,False
 HtpsC,1,7,,0.0,0.0,True
 HtpsC,1,8,,1.0,1.0,False
 HtpsC,2,3,,1.0,1.0,False
 HtpsC,2,4,,1.0,1.0,False
 HtpsC,2,5,,0.29,1.0,False
 HtpsC,2,6,,1.0,1.0,False
 HtpsC,2,7,,0.0,0.0,True
 HtpsC,2,8,,1.0,1.0,False
 HtpsC,3,4,,1.0,1.0,False
 HtpsC,3,5,,0.25,1.0,False
 HtpsC,3,6,,1.0,1.0,False
 HtpsC,3,7,,0.0,0.0,True
 HtpsC,3,8,,1.0,1.0,False
 HtpsC,4,5,,0.19,1.0,False
 HtpsC,4,6,,1.0,1.0,False
 HtpsC,4,7,,0.0,0.0,True
 HtpsC,4,8,,1.0,1.0,False
 HtpsC,5,6,,0.22,1.0,False
 HtpsC,5,7,,0.02,0.20901408450704226,False
 HtpsC,5,8,,0.2,1.0,False
 HtpsC,6,7,,0.0,0.0,True
 HtpsC,6,8,,1.0,1.0,False
 HtpsC,7,8,,0.0,0.0,True
 lhk,1,2,,1.0,1.0,False
 lhk,1,3,,1.0,1.0,False
 lhk,1,4,,1.0,1.0,False
 lhk,1,5,,1.0,1.0,False
 lhk,1,6,,1.0,1.0,False
 lhk,1,7,,0.39,1.0,False
 lhk,1,8,,1.0,1.0,False
 lhk,2,3,,1.0,1.0,False
 lhk,2,4,,1.0,1.0,False
 lhk,2,5,,1.0,1.0,False
 lhk,2,6,,1.0,1.0,False
 lhk,2,7,,0.41,1.0,False
 lhk,2,8,,1.0,1.0,False
 lhk,3,4,,1.0,1.0,False
 lhk,3,5,,1.0,1.0,False
 lhk,3,6,,1.0,1.0,False
 lhk,3,7,,0.37,1.0,False
 lhk,3,8,,1.0,1.0,False
 lhk,4,5,,1.0,1.0,False
 lhk,4,6,,1.0,1.0,False
 lhk,4,7,,0.29,1.0,False
 lhk,4,8,,1.0,1.0,False
 lhk,5,6,,1.0,1.0,False
 lhk,5,7,,1.0,1.0,False
 lhk,5,8,,1.0,1.0,False
 lhk,6,7,,0.33,1.0,False
 lhk,6,8,,1.0,1.0,False
 lhk,7,8,,0.3,1.0,False
 lhr,1,2,,1.0,1.0,False
 lhr,1,3,,1.0,1.0,False
 lhr,1,4,,1.0,1.0,False
 lhr,1,5,,1.0,1.0,False
 lhr,1,6,,1.0,1.0,False
 lhr,1,7,,0.39,1.0,False
 lhr,1,8,,1.0,1.0,False
 lhr,2,3,,1.0,1.0,False
 lhr,2,4,,1.0,1.0,False
 lhr,2,5,,1.0,1.0,False
 lhr,2,6,,1.0,1.0,False
 lhr,2,7,,0.41,1.0,False
 lhr,2,8,,1.0,1.0,False
