antecedent,consequent,support,confidence,Cluster
 MRP, ABC_2,1.0,1.0,1
 ABC_2, pepT,1.0,1.0,1
 pepT, ABC_2,1.0,1.0,1
 ABC_2, GdpP,1.0,1.0,1
 GdpP, ABC_2,1.0,1.0,1
 ABC_2, MsmK,1.0,1.0,1
 MsmK, ABC_2,1.0,1.0,1
 ABC_2, ciaR,1.0,1.0,1
 ciaR, ABC_2,1.0,1.0,1
 ABC_2, OppA,1.0,1.0,1
 OppA, ABC_2,1.0,1.0,1
 GrpE, DnaJ,1.0,1.0,1
 DnaJ, GrpE,1.0,1.0,1
 GrpE, lytR,1.0,1.0,1
 lytR, GrpE,1.0,1.0,1
 GrpE, prsA,1.0,1.0,1
 prsA, GrpE,1.0,1.0,1
 GrpE, FBPS,1.0,1.0,1
 FBPS, GrpE,1.0,1.0,1
 GrpE, CodY,1.0,1.0,1
 CodY, GrpE,1.0,1.0,1
 GrpE, HtpsC,1.0,1.0,1
 HtpsC, GrpE,1.0,1.0,1
 GrpE, DivIVA,1.0,1.0,1
 DivIVA, GrpE,1.0,1.0,1
 GrpE, GroEL,1.0,1.0,1
 GroEL, GrpE,1.0,1.0,1
 GrpE, GAPDH,1.0,1.0,1
 GAPDH, GrpE,1.0,1.0,1
 GrpE, srtA,1.0,1.0,1
 srtA, GrpE,1.0,1.0,1
 GrpE, HAM1,1.0,1.0,1
 HAM1, GrpE,1.0,1.0,1
 GrpE, HP1538,1.0,1.0,1
 HP1538, GrpE,1.0,1.0,1
 GrpE, EF-Tu,1.0,1.0,1
 EF-Tu, GrpE,1.0,1.0,1
 GrpE, ldeS,1.0,1.0,1
 ldeS, GrpE,1.0,1.0,1
 GrpE, manN,1.0,1.0,1
 manN, GrpE,1.0,1.0,1
 GrpE, lhk,1.0,1.0,1
 lhk, GrpE,1.0,1.0,1
 GrpE, HrcA,1.0,1.0,1
 HrcA, GrpE,1.0,1.0,1
 GrpE, LuxS,1.0,1.0,1
 LuxS, GrpE,1.0,1.0,1
 GrpE, TraG,0.82,0.82,1
 TraG, GrpE,0.82,1.0,1
 GrpE, Stp,1.0,1.0,1
 Stp, GrpE,1.0,1.0,1
 GrpE, RggTR,1.0,1.0,1
 RggTR, GrpE,1.0,1.0,1
 GrpE, SspB,1.0,1.0,1
 SspB, GrpE,1.0,1.0,1
 GrpE, dltA,1.0,1.0,1
 dltA, GrpE,1.0,1.0,1
 GrpE, RelA,1.0,1.0,1
 RelA, GrpE,1.0,1.0,1
 GrpE, CovR,1.0,1.0,1
