antecedent,consequent,support,confidence,Cluster
 ldeS, DivIVA,1.0,1.0,2
 DivIVA, manN,1.0,1.0,2
 manN, DivIVA,1.0,1.0,2
 DivIVA, lhk,1.0,1.0,2
 lhk, DivIVA,1.0,1.0,2
 DivIVA, HrcA,1.0,1.0,2
 HrcA, DivIVA,1.0,1.0,2
 DivIVA, LuxS,1.0,1.0,2
 LuxS, DivIVA,1.0,1.0,2
 DivIVA, TraG,1.0,1.0,2
 TraG, DivIVA,1.0,1.0,2
 DivIVA, gh92,1.0,1.0,2
 gh92, DivIVA,1.0,1.0,2
 DivIVA, 1910HR,1.0,1.0,2
 1910HR, DivIVA,1.0,1.0,2
 DivIVA, Stp,1.0,1.0,2
 Stp, DivIVA,1.0,1.0,2
 DivIVA, endoSS,1.0,1.0,2
 endoSS, DivIVA,1.0,1.0,2
 DivIVA, RggTR,1.0,1.0,2
 RggTR, DivIVA,1.0,1.0,2
 DivIVA, 1910HK,1.0,1.0,2
 1910HK, DivIVA,1.0,1.0,2
 DivIVA, Tran,1.0,1.0,2
 Tran, DivIVA,1.0,1.0,2
 DivIVA, SspB,1.0,1.0,2
 SspB, DivIVA,1.0,1.0,2
 DivIVA, dltA,1.0,1.0,2
 dltA, DivIVA,1.0,1.0,2
 DivIVA, RelA,1.0,1.0,2
 RelA, DivIVA,1.0,1.0,2
 DivIVA, CovR,1.0,1.0,2
 CovR, DivIVA,1.0,1.0,2
 DivIVA, lhr,1.0,1.0,2
 lhr, DivIVA,1.0,1.0,2
 DivIVA, sly,1.0,1.0,2
 sly, DivIVA,1.0,1.0,2
 DivIVA, abpb,1.0,1.0,2
 abpb, DivIVA,1.0,1.0,2
 DivIVA, HtpsA,1.0,1.0,2
 HtpsA, DivIVA,1.0,1.0,2
 DivIVA, PepF,1.0,1.0,2
 PepF, DivIVA,1.0,1.0,2
 DivIVA, OTC,1.0,1.0,2
 OTC, DivIVA,1.0,1.0,2
 DivIVA, ciaH,1.0,1.0,2
 ciaH, DivIVA,1.0,1.0,2
 DivIVA, SspA,1.0,1.0,2
 SspA, DivIVA,1.0,1.0,2
 DivIVA, SsPep,1.0,1.0,2
 SsPep, DivIVA,1.0,1.0,2
 DivIVA, ClpX,1.0,1.0,2
 ClpX, DivIVA,1.0,1.0,2
 DivIVA, GidA,1.0,1.0,2
 GidA, DivIVA,1.0,1.0,2
 DivIVA, adhE,1.0,1.0,2
 adhE, DivIVA,1.0,1.0,2
 DivIVA, GntR,1.0,1.0,2
 GntR, DivIVA,1.0,1.0,2
 DivIVA, Cps2B,1.0,1.0,2
 Cps2B, DivIVA,1.0,1.0,2
 DivIVA, RelQ,1.0,1.0,2
 RelQ, DivIVA,1.0,1.0,2
 DivIVA, BgaC,1.0,1.0,2
 BgaC, DivIVA,1.0,1.0,2
 DivIVA, yzpA,0.9,0.9,2
 yzpA, DivIVA,0.9,1.0,2
 DivIVA, agaR2,1.0,1.0,2
 agaR2, DivIVA,1.0,1.0,2
 DivIVA, HP1717,1.0,1.0,2
 HP1717, DivIVA,1.0,1.0,2
 DivIVA, PDH,1.0,1.0,2
 PDH, DivIVA,1.0,1.0,2
 DivIVA, Sbp1,1.0,1.0,2
 Sbp1, DivIVA,1.0,1.0,2
 DivIVA, Rex,1.0,1.0,2
 Rex, DivIVA,1.0,1.0,2
 DivIVA, SntA,1.0,1.0,2
 SntA, DivIVA,1.0,1.0,2
 DivIVA, ABC_1,1.0,1.0,2
 ABC_1, DivIVA,1.0,1.0,2
 DivIVA, GlnA,1.0,1.0,2
 GlnA, DivIVA,1.0,1.0,2
 DivIVA, LDH,1.0,1.0,2
 LDH, DivIVA,1.0,1.0,2
 DivIVA, ClpP,1.0,1.0,2
 ClpP, DivIVA,1.0,1.0,2
 DivIVA, ssnA,1.0,1.0,2
 ssnA, DivIVA,1.0,1.0,2
 DivIVA, VraSR,1.0,1.0,2
 VraSR, DivIVA,1.0,1.0,2
 DivIVA, FlpS,1.0,1.0,2
 FlpS, DivIVA,1.0,1.0,2
 DivIVA, Ssa,1.0,1.0,2
 Ssa, DivIVA,1.0,1.0,2
 DivIVA, ArcD,1.0,1.0,2
 ArcD, DivIVA,1.0,1.0,2
 DivIVA, Eno,1.0,1.0,2
 Eno, DivIVA,1.0,1.0,2
 DivIVA, IMPDH_1,1.0,1.0,2
 IMPDH_1, DivIVA,1.0,1.0,2
 DivIVA, Cps9E,1.0,1.0,2
 Cps9E, DivIVA,1.0,1.0,2
 DivIVA, Zmp,1.0,1.0,2
 Zmp, DivIVA,1.0,1.0,2
 DivIVA, mnmE,1.0,1.0,2
 mnmE, DivIVA,1.0,1.0,2
 DivIVA, IMPDH_2,1.0,1.0,2
 IMPDH_2, DivIVA,1.0,1.0,2
 DivIVA, FBA,1.0,1.0,2
 FBA, DivIVA,1.0,1.0,2
 DivIVA, pgdA,1.0,1.0,2
 pgdA, DivIVA,1.0,1.0,2
 DivIVA, Stk,1.0,1.0,2
 Stk, DivIVA,1.0,1.0,2
 DivIVA, KAR,1.0,1.0,2
 KAR, DivIVA,1.0,1.0,2
 DivIVA, PGK,1.0,1.0,2
 PGK, DivIVA,1.0,1.0,2
 DivIVA, SP1,1.0,1.0,2
 SP1, DivIVA,1.0,1.0,2
 atl_2, DivIVA,0.4,1.0,2
 DivIVA, PK,1.0,1.0,2
 PK, DivIVA,1.0,1.0,2
 DivIVA, DnaK,1.0,1.0,2
 DnaK, DivIVA,1.0,1.0,2
 DivIVA, Fhb_1,0.8,0.8,2
 Fhb_1, DivIVA,0.8,1.0,2
 DivIVA, HP1083,1.0,1.0,2
 HP1083, DivIVA,1.0,1.0,2
 DivIVA, argR,1.0,1.0,2
 argR, DivIVA,1.0,1.0,2
 DivIVA, MRP,1.0,1.0,2
 MRP, DivIVA,1.0,1.0,2
 DivIVA, pepT,1.0,1.0,2
 pepT, DivIVA,1.0,1.0,2
 DivIVA, GdpP,1.0,1.0,2
 GdpP, DivIVA,1.0,1.0,2
 DivIVA, MsmK,1.0,1.0,2
 MsmK, DivIVA,1.0,1.0,2
 DivIVA, ciaR,1.0,1.0,2
 ciaR, DivIVA,1.0,1.0,2
 DivIVA, OppA,1.0,1.0,2
 OppA, DivIVA,1.0,1.0,2
 GroEL, GAPDH,1.0,1.0,2
 GAPDH, GroEL,1.0,1.0,2
 GroEL, srtA,1.0,1.0,2
 srtA, GroEL,1.0,1.0,2
 GroEL, HAM1,1.0,1.0,2
 HAM1, GroEL,1.0,1.0,2
 GroEL, HP1538,1.0,1.0,2
 HP1538, GroEL,1.0,1.0,2
 GroEL, Ssads,0.8,0.8,2
 Ssads, GroEL,0.8,1.0,2
 GroEL, EF-Tu,1.0,1.0,2
 EF-Tu, GroEL,1.0,1.0,2
 GroEL, ldeS,1.0,1.0,2
 ldeS, GroEL,1.0,1.0,2
 GroEL, manN,1.0,1.0,2
 manN, GroEL,1.0,1.0,2
 GroEL, lhk,1.0,1.0,2
 lhk, GroEL,1.0,1.0,2
 GroEL, HrcA,1.0,1.0,2
 HrcA, GroEL,1.0,1.0,2
 GroEL, LuxS,1.0,1.0,2
 LuxS, GroEL,1.0,1.0,2
 GroEL, TraG,1.0,1.0,2
 TraG, GroEL,1.0,1.0,2
 GroEL, gh92,1.0,1.0,2
 gh92, GroEL,1.0,1.0,2
 GroEL, 1910HR,1.0,1.0,2
 1910HR, GroEL,1.0,1.0,2
 GroEL, Stp,1.0,1.0,2
 Stp, GroEL,1.0,1.0,2
 GroEL, endoSS,1.0,1.0,2
 endoSS, GroEL,1.0,1.0,2
 GroEL, RggTR,1.0,1.0,2
 RggTR, GroEL,1.0,1.0,2
 GroEL, 1910HK,1.0,1.0,2
 1910HK, GroEL,1.0,1.0,2
 GroEL, Tran,1.0,1.0,2
 Tran, GroEL,1.0,1.0,2
 GroEL, SspB,1.0,1.0,2
 SspB, GroEL,1.0,1.0,2
 GroEL, dltA,1.0,1.0,2
 dltA, GroEL,1.0,1.0,2
 GroEL, RelA,1.0,1.0,2
 RelA, GroEL,1.0,1.0,2
 GroEL, CovR,1.0,1.0,2
 CovR, GroEL,1.0,1.0,2
 GroEL, lhr,1.0,1.0,2
 lhr, GroEL,1.0,1.0,2
 GroEL, sly,1.0,1.0,2
 sly, GroEL,1.0,1.0,2
 GroEL, abpb,1.0,1.0,2
 abpb, GroEL,1.0,1.0,2
 GroEL, HtpsA,1.0,1.0,2
 HtpsA, GroEL,1.0,1.0,2
 GroEL, PepF,1.0,1.0,2
 PepF, GroEL,1.0,1.0,2
 GroEL, OTC,1.0,1.0,2
 OTC, GroEL,1.0,1.0,2
 GroEL, ciaH,1.0,1.0,2
 ciaH, GroEL,1.0,1.0,2
 GroEL, SspA,1.0,1.0,2
 SspA, GroEL,1.0,1.0,2
 GroEL, SsPep,1.0,1.0,2
 SsPep, GroEL,1.0,1.0,2
 GroEL, ClpX,1.0,1.0,2
 ClpX, GroEL,1.0,1.0,2
 GroEL, GidA,1.0,1.0,2
 GidA, GroEL,1.0,1.0,2
 GroEL, adhE,1.0,1.0,2
 adhE, GroEL,1.0,1.0,2
 GroEL, GntR,1.0,1.0,2
 GntR, GroEL,1.0,1.0,2
 GroEL, Cps2B,1.0,1.0,2
 Cps2B, GroEL,1.0,1.0,2
 GroEL, RelQ,1.0,1.0,2
 RelQ, GroEL,1.0,1.0,2
 GroEL, BgaC,1.0,1.0,2
 BgaC, GroEL,1.0,1.0,2
 GroEL, yzpA,0.9,0.9,2
 yzpA, GroEL,0.9,1.0,2
 GroEL, agaR2,1.0,1.0,2
 agaR2, GroEL,1.0,1.0,2
 GroEL, HP1717,1.0,1.0,2
 HP1717, GroEL,1.0,1.0,2
 GroEL, PDH,1.0,1.0,2
 PDH, GroEL,1.0,1.0,2
 GroEL, Sbp1,1.0,1.0,2
 Sbp1, GroEL,1.0,1.0,2
 GroEL, Rex,1.0,1.0,2
 Rex, GroEL,1.0,1.0,2
 GroEL, SntA,1.0,1.0,2
 SntA, GroEL,1.0,1.0,2
 GroEL, ABC_1,1.0,1.0,2
 ABC_1, GroEL,1.0,1.0,2
 GroEL, GlnA,1.0,1.0,2
 GlnA, GroEL,1.0,1.0,2
 GroEL, LDH,1.0,1.0,2
 LDH, GroEL,1.0,1.0,2
 GroEL, ClpP,1.0,1.0,2
 ClpP, GroEL,1.0,1.0,2
 GroEL, ssnA,1.0,1.0,2
 ssnA, GroEL,1.0,1.0,2
 GroEL, VraSR,1.0,1.0,2
 VraSR, GroEL,1.0,1.0,2
 GroEL, FlpS,1.0,1.0,2
 FlpS, GroEL,1.0,1.0,2
 GroEL, Ssa,1.0,1.0,2
 Ssa, GroEL,1.0,1.0,2
 GroEL, ArcD,1.0,1.0,2
 ArcD, GroEL,1.0,1.0,2
 GroEL, Eno,1.0,1.0,2
 Eno, GroEL,1.0,1.0,2
 GroEL, IMPDH_1,1.0,1.0,2
 IMPDH_1, GroEL,1.0,1.0,2
 GroEL, Cps9E,1.0,1.0,2
 Cps9E, GroEL,1.0,1.0,2
 GroEL, Zmp,1.0,1.0,2
 Zmp, GroEL,1.0,1.0,2
 GroEL, mnmE,1.0,1.0,2
 mnmE, GroEL,1.0,1.0,2
 GroEL, IMPDH_2,1.0,1.0,2
 IMPDH_2, GroEL,1.0,1.0,2
 GroEL, FBA,1.0,1.0,2
 FBA, GroEL,1.0,1.0,2
 GroEL, pgdA,1.0,1.0,2
 pgdA, GroEL,1.0,1.0,2
 GroEL, Stk,1.0,1.0,2
 Stk, GroEL,1.0,1.0,2
 GroEL, KAR,1.0,1.0,2
 KAR, GroEL,1.0,1.0,2
 GroEL, PGK,1.0,1.0,2
 PGK, GroEL,1.0,1.0,2
 GroEL, SP1,1.0,1.0,2
 SP1, GroEL,1.0,1.0,2
 atl_2, GroEL,0.4,1.0,2
 GroEL, PK,1.0,1.0,2
 PK, GroEL,1.0,1.0,2
 GroEL, DnaK,1.0,1.0,2
 DnaK, GroEL,1.0,1.0,2
 GroEL, Fhb_1,0.8,0.8,2
 Fhb_1, GroEL,0.8,1.0,2
 GroEL, HP1083,1.0,1.0,2
 HP1083, GroEL,1.0,1.0,2
 GroEL, argR,1.0,1.0,2
 argR, GroEL,1.0,1.0,2
 GroEL, MRP,1.0,1.0,2
 MRP, GroEL,1.0,1.0,2
 GroEL, pepT,1.0,1.0,2
 pepT, GroEL,1.0,1.0,2
 GroEL, GdpP,1.0,1.0,2
 GdpP, GroEL,1.0,1.0,2
 GroEL, MsmK,1.0,1.0,2
 MsmK, GroEL,1.0,1.0,2
 GroEL, ciaR,1.0,1.0,2
 ciaR, GroEL,1.0,1.0,2
 GroEL, OppA,1.0,1.0,2
 OppA, GroEL,1.0,1.0,2
 GAPDH, srtA,1.0,1.0,2
 srtA, GAPDH,1.0,1.0,2
 GAPDH, HAM1,1.0,1.0,2
 HAM1, GAPDH,1.0,1.0,2
 GAPDH, HP1538,1.0,1.0,2
 HP1538, GAPDH,1.0,1.0,2
 GAPDH, Ssads,0.8,0.8,2
 Ssads, GAPDH,0.8,1.0,2
 GAPDH, EF-Tu,1.0,1.0,2
 EF-Tu, GAPDH,1.0,1.0,2
 GAPDH, ldeS,1.0,1.0,2
 ldeS, GAPDH,1.0,1.0,2
 GAPDH, manN,1.0,1.0,2
 manN, GAPDH,1.0,1.0,2
 GAPDH, lhk,1.0,1.0,2
 lhk, GAPDH,1.0,1.0,2
 GAPDH, HrcA,1.0,1.0,2
 HrcA, GAPDH,1.0,1.0,2
 GAPDH, LuxS,1.0,1.0,2
 LuxS, GAPDH,1.0,1.0,2
 GAPDH, TraG,1.0,1.0,2
 TraG, GAPDH,1.0,1.0,2
 GAPDH, gh92,1.0,1.0,2
 gh92, GAPDH,1.0,1.0,2
 GAPDH, 1910HR,1.0,1.0,2
 1910HR, GAPDH,1.0,1.0,2
 GAPDH, Stp,1.0,1.0,2
 Stp, GAPDH,1.0,1.0,2
 GAPDH, endoSS,1.0,1.0,2
 endoSS, GAPDH,1.0,1.0,2
 GAPDH, RggTR,1.0,1.0,2
 RggTR, GAPDH,1.0,1.0,2
 GAPDH, 1910HK,1.0,1.0,2
 1910HK, GAPDH,1.0,1.0,2
 GAPDH, Tran,1.0,1.0,2
 Tran, GAPDH,1.0,1.0,2
 GAPDH, SspB,1.0,1.0,2
 SspB, GAPDH,1.0,1.0,2
 GAPDH, dltA,1.0,1.0,2
 dltA, GAPDH,1.0,1.0,2
 GAPDH, RelA,1.0,1.0,2
 RelA, GAPDH,1.0,1.0,2
 GAPDH, CovR,1.0,1.0,2
 CovR, GAPDH,1.0,1.0,2
 GAPDH, lhr,1.0,1.0,2
 lhr, GAPDH,1.0,1.0,2
 GAPDH, sly,1.0,1.0,2
 sly, GAPDH,1.0,1.0,2
 GAPDH, abpb,1.0,1.0,2
 abpb, GAPDH,1.0,1.0,2
 GAPDH, HtpsA,1.0,1.0,2
 HtpsA, GAPDH,1.0,1.0,2
 GAPDH, PepF,1.0,1.0,2
 PepF, GAPDH,1.0,1.0,2
 GAPDH, OTC,1.0,1.0,2
 OTC, GAPDH,1.0,1.0,2
 GAPDH, ciaH,1.0,1.0,2
 ciaH, GAPDH,1.0,1.0,2
 GAPDH, SspA,1.0,1.0,2
 SspA, GAPDH,1.0,1.0,2
 GAPDH, SsPep,1.0,1.0,2
 SsPep, GAPDH,1.0,1.0,2
 GAPDH, ClpX,1.0,1.0,2
 ClpX, GAPDH,1.0,1.0,2
 GAPDH, GidA,1.0,1.0,2
 GidA, GAPDH,1.0,1.0,2
 GAPDH, adhE,1.0,1.0,2
 adhE, GAPDH,1.0,1.0,2
 GAPDH, GntR,1.0,1.0,2
 GntR, GAPDH,1.0,1.0,2
 GAPDH, Cps2B,1.0,1.0,2
 Cps2B, GAPDH,1.0,1.0,2
 GAPDH, RelQ,1.0,1.0,2
 RelQ, GAPDH,1.0,1.0,2
 GAPDH, BgaC,1.0,1.0,2
 BgaC, GAPDH,1.0,1.0,2
 GAPDH, yzpA,0.9,0.9,2
 yzpA, GAPDH,0.9,1.0,2
 GAPDH, agaR2,1.0,1.0,2
 agaR2, GAPDH,1.0,1.0,2
 GAPDH, HP1717,1.0,1.0,2
 HP1717, GAPDH,1.0,1.0,2
 GAPDH, PDH,1.0,1.0,2
 PDH, GAPDH,1.0,1.0,2
 GAPDH, Sbp1,1.0,1.0,2
 Sbp1, GAPDH,1.0,1.0,2
 GAPDH, Rex,1.0,1.0,2
 Rex, GAPDH,1.0,1.0,2
 GAPDH, SntA,1.0,1.0,2
 SntA, GAPDH,1.0,1.0,2
 GAPDH, ABC_1,1.0,1.0,2
 ABC_1, GAPDH,1.0,1.0,2
 GAPDH, GlnA,1.0,1.0,2
 GlnA, GAPDH,1.0,1.0,2
 GAPDH, LDH,1.0,1.0,2
 LDH, GAPDH,1.0,1.0,2
 GAPDH, ClpP,1.0,1.0,2
 ClpP, GAPDH,1.0,1.0,2
 GAPDH, ssnA,1.0,1.0,2
 ssnA, GAPDH,1.0,1.0,2
 GAPDH, VraSR,1.0,1.0,2
 VraSR, GAPDH,1.0,1.0,2
 GAPDH, FlpS,1.0,1.0,2
 FlpS, GAPDH,1.0,1.0,2
 GAPDH, Ssa,1.0,1.0,2
 Ssa, GAPDH,1.0,1.0,2
 GAPDH, ArcD,1.0,1.0,2
 ArcD, GAPDH,1.0,1.0,2
 GAPDH, Eno,1.0,1.0,2
 Eno, GAPDH,1.0,1.0,2
 GAPDH, IMPDH_1,1.0,1.0,2
 IMPDH_1, GAPDH,1.0,1.0,2
 GAPDH, Cps9E,1.0,1.0,2
 Cps9E, GAPDH,1.0,1.0,2
 GAPDH, Zmp,1.0,1.0,2
 Zmp, GAPDH,1.0,1.0,2
 GAPDH, mnmE,1.0,1.0,2
 mnmE, GAPDH,1.0,1.0,2
 GAPDH, IMPDH_2,1.0,1.0,2
 IMPDH_2, GAPDH,1.0,1.0,2
 GAPDH, FBA,1.0,1.0,2
 FBA, GAPDH,1.0,1.0,2
 GAPDH, pgdA,1.0,1.0,2
 pgdA, GAPDH,1.0,1.0,2
 GAPDH, Stk,1.0,1.0,2
 Stk, GAPDH,1.0,1.0,2
 GAPDH, KAR,1.0,1.0,2
 KAR, GAPDH,1.0,1.0,2
 GAPDH, PGK,1.0,1.0,2
 PGK, GAPDH,1.0,1.0,2
 GAPDH, SP1,1.0,1.0,2
 SP1, GAPDH,1.0,1.0,2
 atl_2, GAPDH,0.4,1.0,2
 GAPDH, PK,1.0,1.0,2
 PK, GAPDH,1.0,1.0,2
 GAPDH, DnaK,1.0,1.0,2
 DnaK, GAPDH,1.0,1.0,2
 GAPDH, Fhb_1,0.8,0.8,2
 Fhb_1, GAPDH,0.8,1.0,2
 GAPDH, HP1083,1.0,1.0,2
 HP1083, GAPDH,1.0,1.0,2
 GAPDH, argR,1.0,1.0,2
 argR, GAPDH,1.0,1.0,2
 GAPDH, MRP,1.0,1.0,2
 MRP, GAPDH,1.0,1.0,2
 GAPDH, pepT,1.0,1.0,2
 pepT, GAPDH,1.0,1.0,2
 GAPDH, GdpP,1.0,1.0,2
 GdpP, GAPDH,1.0,1.0,2
 GAPDH, MsmK,1.0,1.0,2
 MsmK, GAPDH,1.0,1.0,2
 GAPDH, ciaR,1.0,1.0,2
 ciaR, GAPDH,1.0,1.0,2
 GAPDH, OppA,1.0,1.0,2
 OppA, GAPDH,1.0,1.0,2
 srtA, HAM1,1.0,1.0,2
 HAM1, srtA,1.0,1.0,2
 srtA, HP1538,1.0,1.0,2
 HP1538, srtA,1.0,1.0,2
 srtA, Ssads,0.8,0.8,2
 Ssads, srtA,0.8,1.0,2
 srtA, EF-Tu,1.0,1.0,2
 EF-Tu, srtA,1.0,1.0,2
 srtA, ldeS,1.0,1.0,2
 ldeS, srtA,1.0,1.0,2
 srtA, manN,1.0,1.0,2
 manN, srtA,1.0,1.0,2
 srtA, lhk,1.0,1.0,2
 lhk, srtA,1.0,1.0,2
 srtA, HrcA,1.0,1.0,2
 HrcA, srtA,1.0,1.0,2
 srtA, LuxS,1.0,1.0,2
 LuxS, srtA,1.0,1.0,2
 srtA, TraG,1.0,1.0,2
 TraG, srtA,1.0,1.0,2
 srtA, gh92,1.0,1.0,2
 gh92, srtA,1.0,1.0,2
 srtA, 1910HR,1.0,1.0,2
 1910HR, srtA,1.0,1.0,2
 srtA, Stp,1.0,1.0,2
 Stp, srtA,1.0,1.0,2
 srtA, endoSS,1.0,1.0,2
 endoSS, srtA,1.0,1.0,2
 srtA, RggTR,1.0,1.0,2
 RggTR, srtA,1.0,1.0,2
 srtA, 1910HK,1.0,1.0,2
 1910HK, srtA,1.0,1.0,2
 srtA, Tran,1.0,1.0,2
 Tran, srtA,1.0,1.0,2
 srtA, SspB,1.0,1.0,2
 SspB, srtA,1.0,1.0,2
 srtA, dltA,1.0,1.0,2
 dltA, srtA,1.0,1.0,2
 srtA, RelA,1.0,1.0,2
 RelA, srtA,1.0,1.0,2
 srtA, CovR,1.0,1.0,2
 CovR, srtA,1.0,1.0,2
 srtA, lhr,1.0,1.0,2
 lhr, srtA,1.0,1.0,2
 srtA, sly,1.0,1.0,2
 sly, srtA,1.0,1.0,2
 srtA, abpb,1.0,1.0,2
 abpb, srtA,1.0,1.0,2
 srtA, HtpsA,1.0,1.0,2
 HtpsA, srtA,1.0,1.0,2
 srtA, PepF,1.0,1.0,2
 PepF, srtA,1.0,1.0,2
 srtA, OTC,1.0,1.0,2
 OTC, srtA,1.0,1.0,2
 srtA, ciaH,1.0,1.0,2
 ciaH, srtA,1.0,1.0,2
 srtA, SspA,1.0,1.0,2
 SspA, srtA,1.0,1.0,2
 srtA, SsPep,1.0,1.0,2
 SsPep, srtA,1.0,1.0,2
 srtA, ClpX,1.0,1.0,2
 ClpX, srtA,1.0,1.0,2
 srtA, GidA,1.0,1.0,2
 GidA, srtA,1.0,1.0,2
 srtA, adhE,1.0,1.0,2
 adhE, srtA,1.0,1.0,2
 srtA, GntR,1.0,1.0,2
 GntR, srtA,1.0,1.0,2
 srtA, Cps2B,1.0,1.0,2
 Cps2B, srtA,1.0,1.0,2
 srtA, RelQ,1.0,1.0,2
 RelQ, srtA,1.0,1.0,2
 srtA, BgaC,1.0,1.0,2
 BgaC, srtA,1.0,1.0,2
 srtA, yzpA,0.9,0.9,2
 yzpA, srtA,0.9,1.0,2
 srtA, agaR2,1.0,1.0,2
 agaR2, srtA,1.0,1.0,2
 srtA, HP1717,1.0,1.0,2
 HP1717, srtA,1.0,1.0,2
 srtA, PDH,1.0,1.0,2
 PDH, srtA,1.0,1.0,2
 srtA, Sbp1,1.0,1.0,2
 Sbp1, srtA,1.0,1.0,2
 srtA, Rex,1.0,1.0,2
 Rex, srtA,1.0,1.0,2
 srtA, SntA,1.0,1.0,2
 SntA, srtA,1.0,1.0,2
 srtA, ABC_1,1.0,1.0,2
 ABC_1, srtA,1.0,1.0,2
 srtA, GlnA,1.0,1.0,2
 GlnA, srtA,1.0,1.0,2
 srtA, LDH,1.0,1.0,2
 LDH, srtA,1.0,1.0,2
 srtA, ClpP,1.0,1.0,2
 ClpP, srtA,1.0,1.0,2
 srtA, ssnA,1.0,1.0,2
 ssnA, srtA,1.0,1.0,2
 srtA, VraSR,1.0,1.0,2
 VraSR, srtA,1.0,1.0,2
 srtA, FlpS,1.0,1.0,2
 FlpS, srtA,1.0,1.0,2
 srtA, Ssa,1.0,1.0,2
 Ssa, srtA,1.0,1.0,2
 srtA, ArcD,1.0,1.0,2
 ArcD, srtA,1.0,1.0,2
 srtA, Eno,1.0,1.0,2
 Eno, srtA,1.0,1.0,2
 srtA, IMPDH_1,1.0,1.0,2
 IMPDH_1, srtA,1.0,1.0,2
 srtA, Cps9E,1.0,1.0,2
 Cps9E, srtA,1.0,1.0,2
 srtA, Zmp,1.0,1.0,2
 Zmp, srtA,1.0,1.0,2
 srtA, mnmE,1.0,1.0,2
 mnmE, srtA,1.0,1.0,2
 srtA, IMPDH_2,1.0,1.0,2
 IMPDH_2, srtA,1.0,1.0,2
 srtA, FBA,1.0,1.0,2
 FBA, srtA,1.0,1.0,2
 srtA, pgdA,1.0,1.0,2
 pgdA, srtA,1.0,1.0,2
 srtA, Stk,1.0,1.0,2
 Stk, srtA,1.0,1.0,2
 srtA, KAR,1.0,1.0,2
 KAR, srtA,1.0,1.0,2
 srtA, PGK,1.0,1.0,2
 PGK, srtA,1.0,1.0,2
 srtA, SP1,1.0,1.0,2
 SP1, srtA,1.0,1.0,2
 atl_2, srtA,0.4,1.0,2
 srtA, PK,1.0,1.0,2
 PK, srtA,1.0,1.0,2
 srtA, DnaK,1.0,1.0,2
 DnaK, srtA,1.0,1.0,2
 srtA, Fhb_1,0.8,0.8,2
 Fhb_1, srtA,0.8,1.0,2
 srtA, HP1083,1.0,1.0,2
 HP1083, srtA,1.0,1.0,2
 srtA, argR,1.0,1.0,2
 argR, srtA,1.0,1.0,2
 srtA, MRP,1.0,1.0,2
 MRP, srtA,1.0,1.0,2
 srtA, pepT,1.0,1.0,2
 pepT, srtA,1.0,1.0,2
 srtA, GdpP,1.0,1.0,2
 GdpP, srtA,1.0,1.0,2
 srtA, MsmK,1.0,1.0,2
 MsmK, srtA,1.0,1.0,2
 srtA, ciaR,1.0,1.0,2
 ciaR, srtA,1.0,1.0,2
 srtA, OppA,1.0,1.0,2
 OppA, srtA,1.0,1.0,2
 HAM1, HP1538,1.0,1.0,2
 HP1538, HAM1,1.0,1.0,2
 HAM1, Ssads,0.8,0.8,2
 Ssads, HAM1,0.8,1.0,2
 HAM1, EF-Tu,1.0,1.0,2
 EF-Tu, HAM1,1.0,1.0,2
 HAM1, ldeS,1.0,1.0,2
 ldeS, HAM1,1.0,1.0,2
 HAM1, manN,1.0,1.0,2
 manN, HAM1,1.0,1.0,2
 HAM1, lhk,1.0,1.0,2
 lhk, HAM1,1.0,1.0,2
 HAM1, HrcA,1.0,1.0,2
 HrcA, HAM1,1.0,1.0,2
 HAM1, LuxS,1.0,1.0,2
 LuxS, HAM1,1.0,1.0,2
 HAM1, TraG,1.0,1.0,2
 TraG, HAM1,1.0,1.0,2
 HAM1, gh92,1.0,1.0,2
 gh92, HAM1,1.0,1.0,2
 HAM1, 1910HR,1.0,1.0,2
 1910HR, HAM1,1.0,1.0,2
 HAM1, Stp,1.0,1.0,2
 Stp, HAM1,1.0,1.0,2
 HAM1, endoSS,1.0,1.0,2
 endoSS, HAM1,1.0,1.0,2
 HAM1, RggTR,1.0,1.0,2
 RggTR, HAM1,1.0,1.0,2
 HAM1, 1910HK,1.0,1.0,2
 1910HK, HAM1,1.0,1.0,2
 HAM1, Tran,1.0,1.0,2
 Tran, HAM1,1.0,1.0,2
 HAM1, SspB,1.0,1.0,2
 SspB, HAM1,1.0,1.0,2
 HAM1, dltA,1.0,1.0,2
 dltA, HAM1,1.0,1.0,2
 HAM1, RelA,1.0,1.0,2
 RelA, HAM1,1.0,1.0,2
 HAM1, CovR,1.0,1.0,2
 CovR, HAM1,1.0,1.0,2
 HAM1, lhr,1.0,1.0,2
 lhr, HAM1,1.0,1.0,2
 HAM1, sly,1.0,1.0,2
 sly, HAM1,1.0,1.0,2
 HAM1, abpb,1.0,1.0,2
 abpb, HAM1,1.0,1.0,2
 HAM1, HtpsA,1.0,1.0,2
 HtpsA, HAM1,1.0,1.0,2
 HAM1, PepF,1.0,1.0,2
 PepF, HAM1,1.0,1.0,2
 HAM1, OTC,1.0,1.0,2
 OTC, HAM1,1.0,1.0,2
 HAM1, ciaH,1.0,1.0,2
 ciaH, HAM1,1.0,1.0,2
 HAM1, SspA,1.0,1.0,2
 SspA, HAM1,1.0,1.0,2
 HAM1, SsPep,1.0,1.0,2
 SsPep, HAM1,1.0,1.0,2
 HAM1, ClpX,1.0,1.0,2
